method_is_get,method_is_post,uri_length,uri_depth,has_query,query_length,special_char_count,digit_ratio,url_encoded_count,has_double_encoding,path_traversal_count,has_sensitive_file,has_cmd_keyword,has_sql_keyword,is_binary_request,status_code,is_4xx,is_5xx,user_agent_length,is_empty_user_agent,is_bot_user_agent,ip,timestamp,size,referrer
1,0,11,1,0,0,2,0.0,0,0,0,1,0,0,0,404,1,0,45,0,1,187.17.224.139,08/Mar/2026:12:58:11 +0000,143,-
0,0,52,0,0,0,0,0.3076923076923077,0,0,0,0,0,0,1,400,1,0,1,0,0,187.17.224.139,08/Mar/2026:12:58:13 +0000,173,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,68,0,0,149.57.180.40,08/Mar/2026:13:11:12 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,63,0,0,34.136.111.213,08/Mar/2026:13:13:35 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,63,0,0,34.136.111.213,08/Mar/2026:13:13:37 +0000,1561,http://jcw.directionclock.top
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,359,0,0,140.179.172.190,08/Mar/2026:13:17:55 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,359,0,0,52.80.61.34,08/Mar/2026:13:17:55 +0000,1561,-
1,0,26,2,0,0,3,0.11538461538461539,0,0,0,0,0,1,0,200,0,0,359,0,0,52.80.61.34,08/Mar/2026:13:17:55 +0000,372486,https://jcw.directionclock.top/
1,0,25,2,0,0,3,0.0,0,0,0,0,0,1,0,200,0,0,359,0,0,52.80.61.34,08/Mar/2026:13:17:59 +0000,1554457,https://jcw.directionclock.top/
1,0,26,2,0,0,3,0.038461538461538464,0,0,0,0,0,1,0,200,0,0,359,0,0,52.80.61.34,08/Mar/2026:13:18:00 +0000,989,https://jcw.directionclock.top/
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,359,0,0,52.80.61.34,08/Mar/2026:13:18:00 +0000,88446,https://jcw.directionclock.top/
1,0,25,2,0,0,3,0.04,0,0,0,0,0,1,0,200,0,0,359,0,0,52.80.137.39,08/Mar/2026:13:18:00 +0000,61919,-
1,0,37,2,0,0,3,0.02702702702702703,0,0,0,0,0,1,0,200,0,0,359,0,0,52.80.61.34,08/Mar/2026:13:18:01 +0000,339427,https://jcw.directionclock.top/assets/login-DTBGlT4R.css
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,359,0,0,52.80.137.39,08/Mar/2026:13:18:01 +0000,4044,https://jcw.directionclock.top/login?redirect=/index
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,117,0,0,54.222.150.196,08/Mar/2026:13:18:27 +0000,185,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,117,0,0,54.223.149.220,08/Mar/2026:13:18:27 +0000,1561,-
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,117,0,0,54.223.149.220,08/Mar/2026:13:18:27 +0000,3996,https://jcw.directionclock.top/login?redirect=/index
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,400,1,0,21,0,1,57.151.98.114,08/Mar/2026:13:54:06 +0000,271,-
1,0,25,0,0,0,3,0.56,0,0,0,0,0,0,0,400,1,0,1,0,0,57.151.98.114,08/Mar/2026:13:54:08 +0000,173,-
0,0,18,0,0,0,0,0.0,0,0,0,1,1,1,0,400,1,0,1,0,0,91.238.181.93,08/Mar/2026:14:03:38 +0000,173,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,301,0,0,115,0,0,35.231.166.52,08/Mar/2026:14:04:36 +0000,185,-
1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,400,1,0,1,0,0,35.231.166.52,08/Mar/2026:14:04:36 +0000,0,-
1,0,35,2,0,0,2,0.0,0,0,0,0,0,0,0,404,1,0,21,0,1,20.64.105.235,08/Mar/2026:14:04:58 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,111,0,0,85.11.183.19,08/Mar/2026:14:13:11 +0000,1561,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,400,1,0,111,0,0,85.11.183.19,08/Mar/2026:14:13:12 +0000,673,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,11,0,0,87.121.84.76,08/Mar/2026:14:34:03 +0000,169,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,101,0,0,142.93.144.227,08/Mar/2026:14:53:35 +0000,1561,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,101,0,0,142.93.144.227,08/Mar/2026:14:53:47 +0000,88446,https://101.42.240.142/
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,139,0,0,43.166.242.189,08/Mar/2026:15:27:34 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.112,08/Mar/2026:16:51:15 +0000,1561,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.112,08/Mar/2026:16:51:37 +0000,88446,-
0,0,21,0,0,0,1,0.19047619047619047,0,0,0,0,1,0,1,400,1,0,1,0,0,91.196.152.163,08/Mar/2026:16:51:37 +0000,173,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,78,0,0,91.196.152.164,08/Mar/2026:16:51:41 +0000,169,-
1,0,13,1,0,0,2,0.0,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.112,08/Mar/2026:16:51:57 +0000,1561,-
1,0,16,1,0,0,1,0.5,0,0,0,0,0,0,0,200,0,0,70,0,1,162.142.125.112,08/Mar/2026:16:52:02 +0000,1561,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,404,1,0,78,0,0,91.196.152.60,08/Mar/2026:16:54:15 +0000,169,-
